ก็คุณเองไม่ใช่หรอที่ทำให้เราเสียใจในวันนั้น,แง่ลบ,1
ก็แค่คนที่เคยทำให้เธอยิ้ม ในเวลาไม่มีเขา,แง่ลบ,1
ก็แค่เด็กขี้แย ไม่ต้องมาแคร์ก็ได้,แง่ลบ,1
ก็แค่โสดไม่ได้อ่อย แค่โสดนานหน่อย ไม่ได้อ่อยจริงจริง,แง่ลบ,1
กฎของกระจกคือ การสะท้อนกลับมา แต่กฎของเวลาคือ การไม่ย้อนกลับไป,ข้อคิด,2
กฎของการเดินไปข้างหน้า คือห้ามเสียดายกับสิ่งที่ผ่านมา,ข้อคิด,2
กฎข้อที่หนึ่ง จงอย่าเป็นตัวเลือกที่สองของใคร,ข้อคิด,2
กฎข้อที่หนึ่ง อย่าพาตัวเองกลับไปในที่ที่เคยออกมา,ข้อคิด,2
กดไลค์ให้บ่อยจัง กดเงินให้บ้าง,แง่บวก,0
ก็เธอมันน่ารัก โปรดอย่ามายึกยัก เรื่องรักรักกับพี่เลยเธอ,แง่บวก,0
ก็นี่มันโลกในแบบของฉัน ถ้าเธอไม่ชอบเธอก็ออกไปสิ,แง่ลบ,1
ก็เป็นได้แค่คนในจอ เลยดีไม่พอจะเป็นคนในใจ,แง่ลบ,1
ก็เพราะคนสำคัญไม่มีใครเขาแบ่งเขาแชร์กันหรอกนะ ของสำคัญก็ต้องหวงเป็นธรรมดา,แง่ลบ,1
ก็มันไม่ภูมิใจอะ ยิ่งป้าข้างบ้านใส่ใจมากเท่าไร ทำไมรู้สึกมองบนทุกที,แง่ลบ,1
ก็ไม่ใช่แหนมหนิ ทำไมเธอเปรี้ยวจังอะ,แง่บวก,0
ก็ไม่ได้เตี้ยนะ ทำไมมองข้ามเราตลอดเลยอะ,แง่ลบ,1
กรรมของการกิน มีชื่อเรียกว่า กิโลกรัม,แง่บวก,0
กระทงหนักหรอ ทำไมต้องหาคู่ลอย,แง่บวก,0
กระบี่ไม่ได้อยู่ที่ใจ แต่อยู่ถัดไปจากพังงา,แง่บวก,0
กระปุกออมสินมีไว้หยอดเงิน คิดถึงจังเอาไว้หยอดเธอ,แง่บวก,0
ก็เราไม่ใช่ปูไทย ถึงจะอร่อยถูกใจเด็กไทยทุกคน,แง่บวก,0
กล้องไม่โฟกัส เพราะความชัดอยู่ที่เธอ,แง่บวก,0
กล้องไม่โฟกัสเพราะความชัดอยู่ที่เธอ ที่รูปมันเบลอเพราะเธอคือความชัดเจน,แง่บวก,0
กลับไปมอง อย่าย้อนกลับไปเดิน,ข้อคิด,2
กลับมาจุดเดิม จุดที่ไม่มีใคร,แง่ลบ,1
กลัวการเปลี่ยนแปลงไปทำไมในเมื่ออะไรอะไรต้องเปลี่ยนไปเสมอ,ข้อคิด,2
กลัวเขาไม่เห็นค่า ติดราคาไว้ด้วย,แง่ลบ,1
กลัวฝุ่นกันทำไม หน้ากากก็ใส่กันทุกวัน,แง่ลบ,1
กลางแดดมีเงา กลางใจเราไม่มีใครนะ,แง่บวก,0
กล้าที่จะขอโทษก่อน คือคนที่กล้าหาญที่สุด,ข้อคิด,2
กล้าที่จะลงมือทำ แล้วปล่อยเรื่องพูดคุยไร้สาระไว้กับคนอื่น,ข้อคิด,2
กลายเป็นคนชั่ว เพราะคำพูดมั่วมั่วของคนอื่น,แง่ลบ,1
กวนตีนยังได้ตีน แต่ทำไมกวนใจไม่ได้ใจมั่งอะ,แง่บวก,0
ก็เหมือนคนนั้นไงมีเข้ามาก็ต้องจากไปอยู่ดี,แง่ลบ,1
กอดคือเสื้อที่ไม่มีไซส์ แค่สวมใส่ก็อบอุ่น,แง่บวก,0
